bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-old,124,0.00299643869350183,110,1.4102564102564104,19,4,0.12654829469369674
first-old,125,0.002982874835202435,140,1.794871794871795,13,4,0.16757156442041707
first-old,126,0.004464729101391971,156,2.0,10,2,0.00732738773639415
first-old,127,0.008838791741356376,311,3.9871794871794872,0,2,0.22671485212162223
first-old,128,0.008748729593427788,323,4.141025641025641,2,1,0.021414100059331767
first-old,129,0.008436846232518724,316,4.051282051282051,4,5,0.24498971170122147
first-old,130,0.003048589629748466,111,1.4230769230769231,19,4,0.2758799074009062
first-old,131,0.0030383263451918183,117,1.5,16,1,0.005715316154733189
first-old,132,0.0030300838891443495,142,1.8205128205128205,11,7,0.040142012545677376
first-old,133,0.003010523121683423,121,1.5512820512820513,16,1,0.15256686397999214
first-old,134,0.0030106108780065255,126,1.6153846153846154,19,5,0.4139461715293488
first-old,135,0.002999247818911184,108,1.3846153846153846,15,5,0.2258979979807818
first-old,136,0.0029880834387154944,130,1.6666666666666667,17,10,0.36204549157497706
first-old,137,0.0029662224032688716,126,1.6153846153846154,16,3,0.1799604271436494
first-old,138,0.0029526608655711306,117,1.5,21,11,0.18177340320973726
first-old,139,0.0029462700089081767,121,1.5512820512820513,16,3,0.027415232967023008
first-old,140,0.004374080308655107,161,2.0641025641025643,11,2,0.029761237383099014
first-old,141,0.008658085069170625,364,4.666666666666667,0,6,0.23249670982169018
first-old,142,0.008346197677690622,324,4.153846153846154,1,3,0.14490787769607813
first-old,143,0.0030248961572387077,123,1.5769230769230769,18,3,0.4472746357096907
first-old,144,0.003008434522343193,142,1.8205128205128205,6,1,0.10299415988152205
first-old,145,0.0030063569944854033,135,1.7307692307692308,15,8,0.4562654767059544
first-old,146,0.002980524350918867,129,1.6538461538461537,18,4,0.1751844462778338
first-old,147,0.0029806068083200817,114,1.4615384615384615,19,1,0.09034103737546995
first-old,148,0.002969502618732987,144,1.8461538461538463,11,6,0.20032479593900135
first-old,149,0.0029580582045670247,107,1.3717948717948718,15,1,0.00551665152377513
first-old,150,0.0029361969996104134,100,1.2820512820512822,20,1,0.011473999582619814
first-old,151,0.0029226356056492116,125,1.6025641025641026,15,3,0.09967536570378596
first-old,152,0.0029162448758709276,115,1.4743589743589745,17,5,0.1506949211891686
first-old,153,0.0028860286010029094,103,1.3205128205128205,21,6,0.03510210827839928
first-old,154,0.004284005053936323,157,2.0128205128205128,8,2,0.002163889990002479
first-old,155,0.0082561217647576,345,4.423076923076923,0,3,0.2615455127651092
first-old,156,0.0029209535351987642,97,1.2435897435897436,24,3,0.026896086777807627
first-old,157,0.002904478032205372,130,1.6666666666666667,13,6,0.13252485518158194
first-old,158,0.0029024088276845255,113,1.4487179487179487,15,7,0.03034607648722447
first-old,159,0.0028765640116156376,106,1.358974358974359,21,9,0.08096122046690017
