bank_difference,native_class,hand,entry_mass,contrast,count,mean_bb,paired_descriptive_se_bb
repeat-new minus first-new,133,Q5s,0.003010523121683423,raise_minus_fold,204,2.4078099799682806,1.2963591263373924
repeat-new minus first-new,133,Q5s,0.003010523121683423,raise_minus_call,204,2.1844648569272858,1.4355498967798486
repeat-new minus first-new,134,Q6s,0.0030106108780065255,call_minus_fold,234,-0.6479934377607841,0.5797434229583702
repeat-new minus first-new,134,Q6s,0.0030106108780065255,raise_minus_fold,234,7.941229125511738,1.5729679235909952
repeat-new minus first-new,134,Q6s,0.0030106108780065255,raise_minus_call,234,8.589222563272521,1.5819548936972205
repeat-new minus first-new,135,Q7s,0.002999247818911184,call_minus_fold,179,0.6155763039564494,0.564226891172099
repeat-new minus first-new,135,Q7s,0.002999247818911184,raise_minus_fold,179,-0.5164426556179519,0.7618290977380192
repeat-new minus first-new,135,Q7s,0.002999247818911184,raise_minus_call,179,-1.1320189595744012,0.9242586109302846
repeat-new minus first-new,136,Q8s,0.0029880834387154944,call_minus_fold,187,-0.22237674252129874,0.7613607913742046
repeat-new minus first-new,136,Q8s,0.0029880834387154944,raise_minus_fold,187,3.018124571875813,2.0875479933702414
repeat-new minus first-new,136,Q8s,0.0029880834387154944,raise_minus_call,187,3.240501314397112,2.106865802272396
repeat-new minus first-new,137,Q9s,0.0029662224032688716,call_minus_fold,195,-2.880845646481962,1.2980825276548749
repeat-new minus first-new,137,Q9s,0.0029662224032688716,raise_minus_fold,195,-7.227188449818081,2.0844211309461214
repeat-new minus first-new,137,Q9s,0.0029662224032688716,raise_minus_call,195,-4.346342803336119,2.196582567251733
repeat-new minus first-new,138,QTs,0.0029526608655711306,call_minus_fold,168,-1.0378392521292648,0.9025113012996384
repeat-new minus first-new,138,QTs,0.0029526608655711306,raise_minus_fold,168,1.1922460419396956,1.9182946277499886
repeat-new minus first-new,138,QTs,0.0029526608655711306,raise_minus_call,168,2.23008529406896,1.8290832368141299
repeat-new minus first-new,139,QJs,0.0029462700089081767,call_minus_fold,206,0.45833121393675885,0.8948625538969149
repeat-new minus first-new,139,QJs,0.0029462700089081767,raise_minus_fold,206,0.9652927811901504,2.1778189058140547
repeat-new minus first-new,139,QJs,0.0029462700089081767,raise_minus_call,206,0.5069615672533917,2.0070322019879456
repeat-new minus first-new,140,QQ,0.004374080308655107,call_minus_fold,278,0.7209060843049598,0.27462877205170705
repeat-new minus first-new,140,QQ,0.004374080308655107,raise_minus_fold,278,3.203299620780631,2.582223950848846
repeat-new minus first-new,140,QQ,0.004374080308655107,raise_minus_call,278,2.4823935364756715,2.565733438730384
repeat-new minus first-new,141,KQo,0.008658085069170625,call_minus_fold,560,0.773310341799686,0.48548643485294074
repeat-new minus first-new,141,KQo,0.008658085069170625,raise_minus_fold,560,1.3933402802617905,1.2488404703694185
repeat-new minus first-new,141,KQo,0.008658085069170625,raise_minus_call,560,0.6200299384621046,1.3446524309542267
repeat-new minus first-new,142,AQo,0.008346197677690622,call_minus_fold,565,-0.6980408087001103,0.6294726489632434
repeat-new minus first-new,142,AQo,0.008346197677690622,raise_minus_fold,565,-3.8631148616800464,1.2380622297925967
repeat-new minus first-new,142,AQo,0.008346197677690622,raise_minus_call,565,-3.165074052979936,1.1631234816026466
repeat-new minus first-new,143,K2s,0.0030248961572387077,call_minus_fold,192,0.050192857538647606,0.6137628320875893
repeat-new minus first-new,143,K2s,0.0030248961572387077,raise_minus_fold,192,-4.3373948135356795,2.05217105778816
repeat-new minus first-new,143,K2s,0.0030248961572387077,raise_minus_call,192,-4.387587671074327,2.2259775810997895
repeat-new minus first-new,144,K3s,0.003008434522343193,call_minus_fold,177,-0.23131276945370874,0.7725119597468526
repeat-new minus first-new,144,K3s,0.003008434522343193,raise_minus_fold,177,-4.831222970355901,0.9688442526519867
repeat-new minus first-new,144,K3s,0.003008434522343193,raise_minus_call,177,-4.599910200902192,1.1938000102752857
repeat-new minus first-new,145,K4s,0.0030063569944854033,call_minus_fold,218,0.21877385138427197,0.70903118703607
repeat-new minus first-new,145,K4s,0.0030063569944854033,raise_minus_fold,218,1.330471057237681,0.9784084774394909
repeat-new minus first-new,145,K4s,0.0030063569944854033,raise_minus_call,218,1.1116972058534091,1.183778817201226
repeat-new minus first-new,146,K5s,0.002980524350918867,call_minus_fold,194,1.046133385635965,0.7958295923886568
repeat-new minus first-new,146,K5s,0.002980524350918867,raise_minus_fold,194,1.0107535882210876,1.318949135779233
repeat-new minus first-new,146,K5s,0.002980524350918867,raise_minus_call,194,-0.03537979741487742,1.0818458899028172
repeat-new minus first-new,147,K6s,0.0029806068083200817,call_minus_fold,188,-0.4456884013685563,0.7069877153290168
repeat-new minus first-new,147,K6s,0.0029806068083200817,raise_minus_fold,188,-7.729540635428911,1.529346183620453
repeat-new minus first-new,147,K6s,0.0029806068083200817,raise_minus_call,188,-7.2838522340603555,1.5270829583088847
repeat-new minus first-new,148,K7s,0.002969502618732987,call_minus_fold,192,-0.9415702368326008,0.71374914491211
repeat-new minus first-new,148,K7s,0.002969502618732987,raise_minus_fold,192,4.015039010066608,2.3782821097944384
repeat-new minus first-new,148,K7s,0.002969502618732987,raise_minus_call,192,4.956609246899209,2.2250525869098143
repeat-new minus first-new,149,K8s,0.0029580582045670247,call_minus_fold,194,-0.06729338065095058,0.7579996896911025
repeat-new minus first-new,149,K8s,0.0029580582045670247,raise_minus_fold,194,5.342993994472096,1.1612440272907054
repeat-new minus first-new,149,K8s,0.0029580582045670247,raise_minus_call,194,5.410287375123046,1.1872509803129219
repeat-new minus first-new,150,K9s,0.0029361969996104134,call_minus_fold,180,0.9493993646149951,0.8251109559245557
repeat-new minus first-new,150,K9s,0.0029361969996104134,raise_minus_fold,180,-0.8158160950570729,1.681827109462628
repeat-new minus first-new,150,K9s,0.0029361969996104134,raise_minus_call,180,-1.765215459672068,1.8781151203871587
repeat-new minus first-new,151,KTs,0.0029226356056492116,call_minus_fold,186,-1.4585422576678644,0.8747273016213205
repeat-new minus first-new,151,KTs,0.0029226356056492116,raise_minus_fold,186,0.5752236316470832,1.7337692937856741
repeat-new minus first-new,151,KTs,0.0029226356056492116,raise_minus_call,186,2.0337658893149477,1.9235864342181492
repeat-new minus first-new,152,KJs,0.0029162448758709276,call_minus_fold,209,-2.6610798257139456,1.3130524172551405
repeat-new minus first-new,152,KJs,0.0029162448758709276,raise_minus_fold,209,-0.09522418501308781,0.7048462880578341
repeat-new minus first-new,152,KJs,0.0029162448758709276,raise_minus_call,209,2.5658556407008577,1.335158606652574
repeat-new minus first-new,153,KQs,0.0028860286010029094,call_minus_fold,175,-1.2906240113365812,0.7870489850654342
repeat-new minus first-new,153,KQs,0.0028860286010029094,raise_minus_fold,175,3.9508674227515472,2.4371239761165024
repeat-new minus first-new,153,KQs,0.0028860286010029094,raise_minus_call,175,5.241491434088128,2.4537346051707867
repeat-new minus first-new,154,KK,0.004284005053936323,call_minus_fold,279,0.3833971057753446,0.3249478310183051
repeat-new minus first-new,154,KK,0.004284005053936323,raise_minus_fold,279,-0.9953013084504662,2.352356187552722
repeat-new minus first-new,154,KK,0.004284005053936323,raise_minus_call,279,-1.3786984142258105,2.3503284844358334
repeat-new minus first-new,155,AKo,0.0082561217647576,call_minus_fold,559,-0.8706562428493796,0.23609361980366125
repeat-new minus first-new,155,AKo,0.0082561217647576,raise_minus_fold,559,-3.8927499314982135,1.4219387613900338
repeat-new minus first-new,155,AKo,0.0082561217647576,raise_minus_call,559,-3.022093688648834,1.355512017338452
repeat-new minus first-new,156,A2s,0.0029209535351987642,call_minus_fold,189,0.9551604496656948,0.7549591781881556
